id,nombre,nacionalidad,tipo,cantidadJugadores,tokensMaximos,saloon
255,Pong,Japan,STEREO,3,382,Salon Carreras
436,Pong,Bangladesh,MONO,3,395,Salon VR
41,Pong,Ireland,MONO,4,420,Salon Carreras
20,Pong,Brazil,MONO,3,343,Salon 3
23,Space Invaders,Belarus,STEREO,2,415,Salon 3
268,Space Invaders,Brazil,STEREO,2,101,Salon 2021
433,Space Invaders,China,MONO,5,116,Salon Retro
235,Space Invaders,China,MONO,4,336,Salon Retro
348,Space Invaders,South Africa,STEREO,3,478,Salon VR
105,Space Invaders,Philippines,STEREO,3,213,Salon Carreras
52,Space Invaders,Paraguay,MONO,2,107,Salon 5
189,Space Invaders,Ukraine,MONO,4,133,Salon 2021
468,Space Invaders,China,STEREO,5,370,Salon 6
8,Space Invaders,Japan,MONO,2,396,Salon 1
400,Space Invaders,China,MONO,2,276,Salon 2
424,Space Invaders,Russia,MONO,5,422,Salon 1
112,Space Invaders,China,STEREO,5,444,Salon Retro
466,Space Invaders,Czech Republic,MONO,5,132,Salon 1
450,Space Invaders,Libya,STEREO,2,441,Salon 3
392,Space Invaders,Peru,STEREO,5,120,Salon 3
475,Space Invaders,Philippines,MONO,2,269,Salon 4
252,Space Invaders,China,MONO,5,408,Salon 4
11,Space Invaders,China,MONO,4,278,Salon Carreras
437,Star Wars,China,STEREO,3,313,Salon 1
489,Star Wars,Azerbaijan,STEREO,2,473,Salon 2021
388,Star Wars,Philippines,STEREO,2,112,Salon 2
150,Star Wars,Philippines,STEREO,3,267,Salon Carreras
330,Star Wars,Philippines,MONO,4,312,Salon 2021
121,Star Wars,New Caledonia,STEREO,2,293,Salon Retro
209,Star Wars,Luxembourg,MONO,2,212,Salon 6
374,Star Wars,Saudi Arabia,STEREO,5,226,Salon 4
46,Star Wars,China,STEREO,4,456,Salon 5
84,Star Wars,Honduras,MONO,5,389,Salon 3
92,Star Wars,Sweden,STEREO,2,360,Salon 3
127,Star Wars,Peru,STEREO,3,411,Salon VR
265,Star Wars,China,MONO,3,169,Salon 1
149,Star Wars,Philippines,STEREO,2,150,Salon 1
109,Star Wars,Bulgaria,STEREO,3,284,Salon 6
301,Star Wars,Guatemala,MONO,2,463,Salon 2021
272,Star Wars,China,STEREO,4,241,Salon Carreras
480,Star Wars,Indonesia,MONO,3,226,Salon 6
98,Star Wars,Indonesia,STEREO,3,479,Salon 2
471,Star Wars,Philippines,STEREO,4,478,Salon VR
277,Star Wars,Peru,MONO,5,490,Salon 5
100,Street Fighter II,China,STEREO,5,213,Salon 3
172,Street Fighter II,China,MONO,4,416,Salon 2
145,Street Fighter II,Russia,MONO,5,354,Salon 3
332,Street Fighter II,Russia,MONO,2,255,Salon 3
476,Street Fighter II,China,MONO,2,130,Salon 3
428,Street Fighter II,Indonesia,MONO,5,198,Salon 2
176,Street Fighter II,Canada,STEREO,3,401,Salon Carreras
260,Street Fighter II,Slovenia,STEREO,3,494,Salon Carreras
295,Street Fighter II,Dominican Republic,MONO,5,343,Salon 5
375,Street Fighter II,Brazil,MONO,2,102,Salon 3
35,Street Fighter II,Indonesia,STEREO,4,207,Salon Retro
352,Street Fighter II,Ukraine,MONO,2,259,Salon Retro
387,Street Fighter II,China,STEREO,2,401,Salon 3
91,Street Fighter II,Indonesia,STEREO,4,433,Salon Retro
338,Street Fighter II,Brazil,MONO,3,262,Salon VR
386,Street Fighter II,Iran,STEREO,4,120,Salon 6
431,Street Fighter II,China,MONO,5,257,Salon Retro
317,Street Fighter II,Indonesia,STEREO,3,236,Salon 2021
141,Street Fighter II,Guatemala,STEREO,3,396,Salon 2
264,Street Fighter II,Argentina,STEREO,2,289,Salon 2021
151,Tetris,Thailand,MONO,4,109,Salon 5
173,Tetris,Ukraine,STEREO,3,468,Salon 4
461,Tetris,Indonesia,MONO,2,148,Salon 6
430,Tetris,Brazil,MONO,4,442,Salon 2
230,Tetris,Serbia,MONO,3,299,Salon 2
81,Tetris,Russia,STEREO,3,276,Salon Retro
220,Tetris,China,MONO,3,276,Salon 5
483,Tetris,Afghanistan,MONO,4,331,Salon 6
5,Tetris,China,STEREO,5,443,Salon 3
186,Tetris,Russia,MONO,3,392,Salon VR
321,Tetris,Indonesia,STEREO,4,404,Salon 3
370,Tetris,Kosovo,MONO,4,331,Salon 4
408,Tetris,Russia,STEREO,4,201,Salon Retro
97,Tetris,Portugal,MONO,2,157,Salon 2
44,Tetris,Russia,MONO,5,151,Salon Carreras
417,Tetris,China,MONO,3,117,Salon 5
180,Tetris,Haiti,MONO,3,366,Salon Retro
465,Tetris,Uganda,MONO,3,329,Salon 1
164,Tetris,China,STEREO,4,372,Salon 3
464,Tetris,China,STEREO,4,232,Salon 2021
57,Tetris,Madagascar,MONO,3,412,Salon 5
469,Tetris,Iran,STEREO,5,466,Salon Retro
455,Tetris,China,MONO,2,384,Salon 4
462,Tetris,Yemen,STEREO,5,372,Salon 4
59,Tetris,Philippines,STEREO,4,303,Salon Carreras
495,Tetris,Brazil,STEREO,5,150,Salon 3
308,Tetris,Canada,STEREO,2,185,Salon 2
117,Tron,Japan,MONO,5,487,Salon Carreras
344,Tron,Dominican Republic,MONO,3,436,Salon 2
210,Tron,Mongolia,MONO,5,360,Salon VR
61,Tron,Ireland,MONO,3,197,Salon 1
213,Tron,United States,MONO,2,349,Salon 1
243,Tron,Indonesia,STEREO,2,351,Salon Retro
69,Tron,Russia,MONO,5,113,Salon 1
185,Tron,Brazil,STEREO,3,276,Salon 2
294,Tron,Indonesia,STEREO,4,463,Salon Carreras
148,Tron,Japan,STEREO,2,169,Salon 2021
324,Tron,Namibia,STEREO,4,208,Salon 2
438,Tron,Pakistan,STEREO,2,194,Salon 4
104,Tron,Portugal,STEREO,3,301,Salon 3
481,Tron,Indonesia,MONO,5,488,Salon Retro
411,Tron,China,STEREO,2,429,Salon 3
273,Tron,China,MONO,5,171,Salon 1
13,Tron,Philippines,MONO,5,124,Salon Retro
31,Tron,Kazakhstan,MONO,3,309,Salon 3
434,Tron,Mauritania,MONO,5,401,Salon Carreras
359,Tron,Ireland,MONO,4,334,Salon VR
133,Tron,Ukraine,STEREO,2,411,Salon 2021
10,Virtua Cop,Indonesia,STEREO,2,320,Salon 2021
307,Virtua Cop,Sweden,MONO,2,379,Salon 3
314,Virtua Cop,Indonesia,STEREO,2,145,Salon 4
129,Virtua Cop,Peru,STEREO,2,422,Salon 3
486,Virtua Cop,Netherlands,STEREO,2,163,Salon 2021
19,Virtua Cop,Ethiopia,MONO,2,105,Salon 6
54,Virtua Cop,Greece,MONO,2,454,Salon 2021
111,Virtua Cop,Russia,MONO,3,429,Salon Carreras
253,Virtua Cop,China,MONO,5,330,Salon 1
45,Virtua Cop,Indonesia,STEREO,3,315,Salon 6
216,Virtua Cop,Indonesia,MONO,2,116,Salon Retro
122,Virtua Cop,Portugal,STEREO,3,106,Salon 1
394,Virtua Cop,Brazil,MONO,5,195,Salon 6
407,Virtua Cop,Poland,MONO,2,215,Salon VR
282,Virtua Cop,Malaysia,MONO,4,421,Salon 1
373,Virtua Cop,Russia,STEREO,2,297,Salon 2
82,Virtua Cop,New Zealand,STEREO,4,206,Salon 6
64,Virtua Cop,Japan,MONO,3,260,Salon 2
18,Virtua Cop,Sweden,MONO,2,380,Salon 2021
190,Virtua Cop,Philippines,STEREO,3,375,Salon 4
236,Virtua Cop,Bulgaria,MONO,4,471,Salon VR
357,Virtua Cop,Comoros,MONO,2,348,Salon Carreras
358,Virtua Cop,Costa Rica,STEREO,4,483,Salon Carreras
24,Virtua Cop,Sri Lanka,STEREO,5,333,Salon 1
101,Virtua Cop,Estonia,MONO,4,215,Salon 3
